Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1002,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
1003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
1005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
1006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
1008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
1011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
1013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
1014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
1018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
1020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
1024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
1027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
1028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
1029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
1030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
1032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
1034,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
1036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
1038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
1041,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
1043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
1046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
1047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
1050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
1052,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
1066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
1068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
1073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
1086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
